node,name
prot919,FAM24A
prot920,MGAT4D
prot921,TMEM202
prot922,TMEM191C
prot923,TMEM221
prot924,WIPF3
prot925,TLCD2
prot926,ZSCAN5C
prot927,DCAF8L1
prot928,URAD
prot929,C9orf92
prot930,PCARE
prot931,CCDC160
prot932,ANKRD61
prot933,TRIM64
prot934,GAGE10
prot935,PRAMEF25
prot936,IGLON5
prot937,OOEP
prot938,MROH6
prot939,ERICH4
prot940,GGT3P
prot941,LINC01546
prot942,STRCP1
prot943,FRG2C
prot944,C5orf52
prot945,OR51F1
prot946,SMIM9
prot947,OR2T8
prot948,GLTPD2
prot949,DNAJC9-AS1
prot950,SERINC4
prot951,TVP23A
prot952,ARL5C
prot953,OR4C46
prot954,CAPN8
prot955,DDTL
prot956,OR5H14
prot957,ZNF860
prot958,TUBAL3
prot959,MOXD2P
prot960,OTOL1
prot961,NPIPB15
prot962,SPDYE2B
prot963,FBLL1
prot964,EPOP
prot965,FAM47DP
prot966,SMCHD1
prot967,-
prot968,MANSC4
prot969,HMX3
prot970,CASTOR2
prot971,ANKDD1B
prot972,LRRC14B
prot973,TRIM64B
prot974,MSGN1
prot975,ARHGAP42
prot976,POTEM
prot977,CCDC154
prot978,MYMK
prot979,NCF1B
prot980,LILRA5
prot981,CCDC69
prot982,GOLGA6L10
prot983,CBY3
prot984,RRN3P2
prot985,PRSS29P
prot986,UNC119B
prot987,FAM90A20P
prot988,OR6C70
prot989,LRRC10B
prot990,CRYM-AS1
prot991,SLC15A5
prot992,RNF227
prot993,AGAP5
prot994,LINC01549
prot995,LRRIQ4
prot996,WTIP
prot997,SPDYE5
prot998,-
prot999,MBD3L5
prot1000,NKX6-3
prot1001,NPIPB2
prot1002,IGIP
prot1003,METTL15
prot1004,SAGE2P
prot1005,PRR19
prot1006,SOWAHD
prot1007,ARGFX
prot1008,C11orf86
prot1009,LRRC72
prot1010,C19orf67
prot1011,ZSCAN5B
prot1012,FAM90A8P
prot1013,-
prot1014,UNCX
prot1015,NPIPB13
prot1016,FAM166C
prot1017,LRRC3C
prot1018,CD8B2
prot1019,SLC9B1P1
prot1020,-
prot1021,OR6C65
prot1022,RIMBP3C
prot1023,TRIM75P
prot1024,ACOD1
prot1025,GLOD5
prot1026,ZNF233
prot1027,LIPT2
prot1028,ASB14
prot1029,ZNF98
prot1030,RASSF10
prot1031,SLC22A20P
prot1032,PCNX2
prot1033,FAM90A7P
prot1034,SH2D7
prot1035,TSPY2
prot1036,CCDC85C
prot1037,SAC3D1
prot1038,ARID3C
prot1039,TMEM88B
prot1040,RTL1
prot1041,RPL37AP8
prot1042,OR5H1
prot1043,TMEM200C
prot1044,PCP4L1
prot1045,SDR42E2
prot1046,CGB1
prot1047,RGPD3
prot1048,SPDYE3
prot1049,SHISAL2B
prot1050,FAM223B
prot1051,SLC22A31
prot1052,FAM74A7
prot1053,OR6C75
prot1054,OR5B21
prot1055,-
prot1056,FAM183A
prot1057,SHISA7
prot1058,AQP7P3
prot1059,C3orf70
prot1060,-
prot1061,SMIM23
prot1062,ELOA3DP
prot1063,TRIM64C
prot1064,C2CD4B
prot1065,TTC36
prot1066,RFPL4A
prot1067,VSTM2B
prot1068,DUXA
prot1069,SPDYE4
prot1070,TMEM210
prot1071,OR2AG2
prot1072,AQP12B
prot1073,LRRC37A2
prot1074,ZFP92
prot1075,LRRC30
prot1076,CCT8L1P
prot1077,CLDN24
prot1078,LRRC53
prot1079,LINC01548
prot1080,OR6C76
prot1081,TRPC5OS
prot1082,SIGLEC16
prot1083,FIGNL2
prot1084,IFITM10
prot1085,GOLGA8J
prot1086,CPSF4L
prot1087,INSYN2B
prot1088,TMEM212
prot1089,FAM170B
prot1090,OR5K4
prot1091,LRRC37A
prot1092,DBX1
prot1093,OR52A4P
prot1094,EIF4E1B
prot1095,ANXA2P2
prot1096,SNTN
prot1097,OR4C45
prot1098,COL6A6
prot1099,-
prot1100,ZNF729
prot1101,GOLGA8CP
prot1102,C2orf81
prot1103,GJE1
prot1104,SRRM3
prot1105,DRGX
prot1106,IFITM5
prot1107,-
prot1108,OR2AT4
prot1109,MARCHF11
prot1110,ZNF726
prot1111,FAM90A27P
prot1112,FAM90A9P
prot1113,NUTM2B
prot1114,C15orf61
prot1115,RIMBP3B
prot1116,TTLL13P
